gvkey,iid,datadate,tic,cshtrm,prccm,trt1m,cmth,cshom,cyear,gind,gsector
001979,01,2016-07-31,BCPC,1560284.0000,63.8700,7.0746,7,31575000,2016,151010,15
001979,01,2016-08-31,BCPC,1838458.0000,70.0300,9.6446,8,31626000,2016,151010,15
001979,01,2016-09-30,BCPC,2919301.0000,77.5300,10.7097,9,31626000,2016,151010,15
001979,01,2016-10-31,BCPC,2229067.0000,75.9000,-2.1024,10,31626000,2016,151010,15
001979,01,2016-11-30,BCPC,3067292.0000,79.8600,5.2174,11,31721000,2016,151010,15
001979,01,2016-12-31,BCPC,2686495.0000,83.9200,5.5597,12,31721000,2016,151010,15
001979,01,2017-01-31,BCPC,2124135.0000,85.2400,1.5729,1,31721000,2017,151010,15
001979,01,2017-02-28,BCPC,2131700.0000,87.1700,2.2642,2,31721000,2017,151010,15
001979,01,2017-03-31,BCPC,3048265.0000,82.4200,-5.4491,3,31771000,2017,151010,15
001979,01,2017-04-30,BCPC,1775414.0000,81.1600,-1.5288,4,31771000,2017,151010,15
001979,01,2017-05-31,BCPC,1989346.0000,78.7200,-3.0064,5,31867000,2017,151010,15
001979,01,2017-06-30,BCPC,2121497.0000,77.7100,-1.2830,6,31867000,2017,151010,15
001979,01,2017-07-31,BCPC,1479225.0000,77.6000,-0.1416,7,31867000,2017,151010,15
001979,01,2017-08-31,BCPC,2170626.0000,74.9600,-3.4021,8,31958000,2017,151010,15
001979,01,2017-09-30,BCPC,1911628.0000,81.2900,8.4445,9,31958000,2017,151010,15
001979,01,2017-10-31,BCPC,1594762.0000,84.2900,3.6905,10,31958000,2017,151010,15
001979,01,2017-11-30,BCPC,1540968.0000,87.2700,3.5354,11,32004000,2017,151010,15
001979,01,2017-12-31,BCPC,2076135.0000,80.6000,-7.1617,12,32004000,2017,151010,15
001979,01,2018-01-31,BCPC,1941636.0000,79.0000,-1.9851,1,32004000,2018,151010,15
001979,01,2018-02-28,BCPC,2375126.0000,75.2500,-4.7468,2,32004000,2018,151010,15
001979,01,2018-03-31,BCPC,2217699.0000,81.7500,8.6379,3,32036000,2018,151010,15
001979,01,2018-04-30,BCPC,1901288.0000,88.2400,7.9388,4,32036000,2018,151010,15
001979,01,2018-05-31,BCPC,2481199.0000,96.4300,9.2815,5,32108000,2018,151010,15
001979,01,2018-06-30,BCPC,2533926.0000,98.1400,1.7733,6,32108000,2018,151010,15
001979,01,2018-07-31,BCPC,1807463.0000,100.2900,2.1907,7,32108000,2018,151010,15
001979,01,2018-08-31,BCPC,2176128.0000,110.8900,10.5693,8,32211000,2018,151010,15
001979,01,2018-09-30,BCPC,1950325.0000,112.0900,1.0822,9,32211000,2018,151010,15
001979,01,2018-10-31,BCPC,3028613.0000,93.6500,-16.4511,10,32211000,2018,151010,15
001979,01,2018-11-30,BCPC,2635142.0000,86.7000,-7.4212,11,32248000,2018,151010,15
001979,01,2018-12-31,BCPC,2541920.0000,78.3500,-9.0888,12,32248000,2018,151010,15
001979,01,2019-01-31,BCPC,2307183.0000,83.0200,5.9604,1,32248000,2019,151010,15
001979,01,2019-02-28,BCPC,1881310.0000,88.7300,6.8779,2,32248000,2019,151010,15
001979,01,2019-03-31,BCPC,3387191.0000,92.8000,4.5869,3,32274000,2019,151010,15
001979,01,2019-04-30,BCPC,1951778.0000,101.5100,9.3858,4,32334000,2019,151010,15
001979,01,2019-05-31,BCPC,2636220.0000,90.6900,-10.6590,5,32334000,2019,151010,15
001979,01,2019-06-30,BCPC,2243363.0000,99.9700,10.2327,6,32334000,2019,151010,15
001979,01,2019-07-31,BCPC,2085609.0000,102.6400,2.6708,7,32334000,2019,151010,15
001979,01,2019-08-31,BCPC,2579680.0000,88.7900,-13.4938,8,32357000,2019,151010,15
001979,01,2019-09-30,BCPC,2631270.0000,99.1900,11.7130,9,32357000,2019,151010,15
001979,01,2019-10-31,BCPC,1853199.0000,101.2100,2.0365,10,32357000,2019,151010,15
001979,01,2019-11-30,BCPC,2511857.0000,99.6300,-1.5611,11,32169000,2019,151010,15
001979,01,2019-12-31,BCPC,2349675.0000,101.6300,2.5294,12,32169000,2019,151010,15
001979,01,2020-01-31,BCPC,2294948.0000,108.0200,6.2875,1,32169000,2020,151010,15
001979,01,2020-02-29,BCPC,1628507.0000,94.4600,-12.5532,2,32255000,2020,151010,15
001979,01,2020-03-31,BCPC,3885367.0000,98.7200,4.5098,3,32255000,2020,151010,15
001979,01,2020-04-30,BCPC,3402600.0000,89.2400,-9.6029,4,32317000,2020,151010,15
001979,01,2020-05-31,BCPC,4062941.0000,100.6500,12.7857,5,32317000,2020,151010,15
001979,01,2020-06-30,BCPC,3436685.0000,94.8600,-5.7526,6,32317000,2020,151010,15
001979,01,2020-07-31,BCPC,2895126.0000,100.2600,5.6926,7,32317000,2020,151010,15
001979,01,2020-08-31,BCPC,2117610.0000,97.7000,-2.5534,8,32348000,2020,151010,15
001979,01,2020-09-30,BCPC,2383929.0000,97.6300,-0.0716,9,32348000,2020,151010,15
001979,01,2020-10-31,BCPC,1948301.0000,99.9500,2.3763,10,32351000,2020,151010,15
001979,01,2020-11-30,BCPC,3551214.0000,103.6900,3.7419,11,32351000,2020,151010,15
001979,01,2020-12-31,BCPC,2730770.0000,115.2200,11.6790,12,32351000,2020,151010,15
001979,01,2021-01-31,BCPC,3316983.0000,107.0300,-7.1081,1,32351000,2021,151010,15
001979,01,2021-02-28,BCPC,1759867.0000,119.3600,11.5201,2,32393000,2021,151010,15
001979,01,2021-03-31,BCPC,2591795.0000,125.4100,5.0687,3,32393000,2021,151010,15
001979,01,2021-04-30,BCPC,2519749.0000,127.1900,1.4193,4,32436000,2021,151010,15
001979,01,2021-05-31,BCPC,2338059.0000,131.0000,2.9955,5,32436000,2021,151010,15
001979,01,2021-06-30,BCPC,2732227.0000,131.2600,0.1985,6,32436000,2021,151010,15
001979,01,2021-07-31,BCPC,1686627.0000,134.8900,2.7655,7,32436000,2021,151010,15
001979,01,2021-08-31,BCPC,1928109.0000,140.4200,4.0996,8,32371000,2021,151010,15
001979,01,2021-09-30,BCPC,2862604.0000,145.0700,3.3115,9,32371000,2021,151010,15
001979,01,2021-10-31,BCPC,1922070.0000,153.0900,5.5284,10,32371000,2021,151010,15
001979,01,2021-11-30,BCPC,2026285.0000,158.0000,3.2073,11,32382000,2021,151010,15
001979,01,2021-12-31,BCPC,3159021.0000,168.6000,7.1139,12,32382000,2021,151010,15
001979,01,2022-01-31,BCPC,2388991.0000,146.9400,-12.8470,1,32382000,2022,151010,15
001979,01,2022-02-28,BCPC,2677527.0000,138.3400,-5.8527,2,32382000,2022,151010,15
001979,01,2022-03-31,BCPC,2921674.0000,136.7000,-1.1855,3,32187000,2022,151010,15
001979,01,2022-04-30,BCPC,1807668.0000,123.2000,-9.8756,4,32187000,2022,151010,15
001979,01,2022-05-31,BCPC,2408647.0000,124.4300,0.9984,5,32116000,2022,151010,15
001979,01,2022-06-30,BCPC,2848785.0000,129.7400,4.2675,6,32116000,2022,151010,15
